id,m_grd
1304440,1.0107
1304470,0.9194
1304500,0.8430
1304530,0.9244
1304540,0.9531
1304560,0.8614
1304590,0.7384
1304620,0.7804
1304650,0.9566
1304770,0.9931
1304800,0.6773
1304830,0.9269
1304860,0.6561
1304890,0.7015
1304950,0.8618
1304980,0.8161
1305040,0.7357
1305070,1.0276
1305100,0.5970
1305130,0.9426
1305190,0.7839
1305220,0.9841
1305250,0.8671
1305280,0.8093
1305310,0.7754
1305340,0.8841
1305370,0.8653
1305390,0.8922
1305430,0.9317
1305460,0.9106
1305490,0.7767
1305550,0.8804
1305580,1.2085
1305640,0.7110
1305670,0.8081
1305700,0.8945
1305730,0.8307
1305760,0.8641
1305790,1.0658
1305850,0.8580
1500030,0.9291
1600001,0.9618
1600002,1.0547
1600030,1.0468
1600060,0.8396
1600139,1.0188
1600240,0.9390
1600270,0.7674
1600300,1.0458
1600360,0.9924
1600420,0.8567
1600480,0.9403
1600510,0.7993
1600600,0.9365
1600660,0.8965
