id,b_grd
3603270,0.7470
3603480,0.8237
3603840,0.6984
3604080,0.9286
3604140,0.8172
3604870,0.7488
3605280,0.8349
3605850,0.8082
3606870,0.5848
3607230,0.5579
3607680,0.8352
3608310,0.6458
3608880,1.0308
3609690,0.8578
3610560,0.7076
3610620,0.9045
3610710,0.8712
3610890,1.0403
3611550,0.7236
3611880,0.9723
3611970,0.6456
3612630,0.9250
3612720,0.9490
3613290,1.0497
3614010,0.9370
3614130,0.4550
3614940,0.6755
3615090,0.9790
3615180,0.8606
3615300,0.8235
3615390,1.0107
3615570,0.9244
3615630,0.6975
3615900,0.8207
3616230,0.9052
3616290,0.7069
3616440,0.8940
3616620,0.9447
3616740,0.8578
3616830,0.7703
3617520,0.9864
3617670,0.7064
3617730,0.6532
3618210,0.8711
3618690,0.6288
3619200,0.9917
3619230,0.8996
3619320,0.9764
3619650,1.0657
3619680,0.8743
3619740,0.7762
3620100,0.4350
3620490,0.7275
3620580,0.8654
3620700,0.7708
3620820,0.7138
3620910,0.7622
3621210,0.7741
3621480,0.8574
3622020,0.7749
3622470,1.0085
3622650,0.9730
