id,w_grd
1603090,1.0714
1603180,1.0369
1603240,0.9529
1603270,0.9800
1603300,0.9884
1603330,0.8775
1603360,0.8946
1603400,1.1027
1603420,1.1887
1700001,0.9660
1700002,0.9200
1700003,0.8343
1700004,0.8941
1700005,0.9788
1700007,0.9552
1700009,0.9965
1700010,0.7641
1700014,1.1110
1700015,1.2254
1700041,1.0782
1700044,0.8657
1700045,1.0783
1700077,0.9914
1700092,0.8297
1700099,1.2421
1700105,0.7846
1700106,1.1091
1700109,0.7763
1700112,0.7985
1700113,0.8897
1700114,0.9176
1700115,0.6771
1700119,0.8488
1700122,0.8656
1700123,0.8283
1700125,0.9004
1700126,0.9639
1700153,0.6520
1700176,0.6331
1700217,0.8193
1700222,1.1825
1700223,0.8201
1700310,0.7190
1700314,0.7418
1700319,0.7556
1700320,0.9139
1700321,0.8994
1700324,0.7892
1700326,0.9550
1700330,1.0057
1700332,0.8645
1701381,0.6206
1701382,0.6846
1701385,1.1585
1701387,0.9800
1701388,0.8242
1701395,0.8950
1701403,0.8039
1703090,0.6537
1703150,0.8859
1703300,0.9579
1703480,1.1471
1703510,0.9681
1703600,0.8814
1703660,0.9294
1703690,0.8364
1703750,1.0075
1703810,0.8251
1703840,0.9167
1703900,1.0647
1703930,0.8317
1703960,1.0068
1703990,0.7231
1704050,1.0226
1704140,0.9965
1704260,0.7486
1704380,0.8913
1704440,0.9055
1704470,0.7441
1704560,1.0156
1704590,0.7283
1704620,0.8155
1704680,0.9845
1704710,0.8967
1704740,1.0515
1704800,1.2888
1704920,0.8333
